,avg_d_mbps,avg_u_mbps,tests,devices,long,lat,location
56958,281.314,17.262,4,2,151.520690917969,-32.8265190978512,POINT (151.520690917969 -32.8265190978512)
57074,144.175,21.682,4,3,145.0552368164065,-38.236022767684204,POINT (145.0552368164065 -38.2360227676842)
57250,204.375,41.571,1,1,144.3960571289065,-38.15399718646586,POINT (144.3960571289065 -38.15399718646586)
57587,104.658,55.213,1,1,147.0108032226565,-21.8283570077126,POINT (147.0108032226565 -21.8283570077126)
58273,284.033,13.307,1,1,151.322937011719,-33.479563064152,POINT (151.322937011719 -33.479563064152)
58388,107.509,23.094,5,4,144.884948730469,-37.633809855038,POINT (144.884948730469 -37.633809855038)
58435,118.597,119.82,4,2,150.998840332031,-33.93196646937485,POINT (150.998840332031 -33.93196646937485)
58766,275.16,32.665,11,1,150.5923461914065,-34.8971951387273,POINT (150.5923461914065 -34.8971951387273)
58797,124.0,31.677,43,3,153.2510375976565,-27.496090388250703,POINT (153.2510375976565 -27.4960903882507)
58902,173.196,37.258,15,3,145.236511230469,-38.10646647401555,POINT (145.236511230469 -38.10646647401555)
59060,230.652,44.409,7,3,150.70220947265653,-33.73119250573289,POINT (150.7022094726565 -33.73119250573289)
59065,263.233,93.849,3,2,128.72955322265648,-15.78432466278935,POINT (128.7295532226565 -15.78432466278935)
59180,120.811,21.645,21,9,130.9707641601565,-12.482168787854702,POINT (130.9707641601565 -12.4821687878547)
59348,100.479,21.816,9,6,143.874206542969,-37.55546503637645,POINT (143.874206542969 -37.55546503637645)
59421,168.435,25.922,6,2,152.75665283203102,-27.685960202786745,POINT (152.756652832031 -27.68596020278675)
59664,171.563,25.084,4,3,147.016296386719,-36.0424367040082,POINT (147.016296386719 -36.0424367040082)
59708,135.746,22.619,13,2,152.4819946289065,-31.898546270557247,POINT (152.4819946289065 -31.89854627055725)
59942,121.747,156.093,2,2,150.8560180664065,-34.000304273891246,POINT (150.8560180664065 -34.00030427389125)
59979,206.549,31.712,71,14,144.626770019531,-37.920367804027855,POINT (144.626770019531 -37.92036780402785)
60049,108.679,22.592,7,3,138.5458374023435,-35.265804397833804,POINT (138.5458374023435 -35.2658043978338)
60056,484.806,37.69,1,1,151.57012939453097,-32.74339238547825,POINT (151.570129394531 -32.74339238547825)
60067,106.927,99.206,2,2,153.152160644531,-27.427851895796096,POINT (153.152160644531 -27.4278518957961)
60193,180.9,20.349,2,2,144.3466186523435,-38.162635808603746,POINT (144.3466186523435 -38.16263580860375)
60319,150.169,30.539,9,4,144.423522949219,-38.028622202642055,POINT (144.423522949219 -38.02862220264205)
60411,133.877,24.78,15,6,147.3623657226565,-42.81353655341245,POINT (147.3623657226565 -42.81353655341245)
60579,174.106,24.724,39,4,150.96588134765648,-33.68549634250975,POINT (150.9658813476565 -33.68549634250975)
60694,451.418,41.299,1,1,143.85772705078097,-37.61205567958565,POINT (143.857727050781 -37.61205567958565)
60706,172.533,115.668,5,3,152.970886230469,-27.47172434728595,POINT (152.970886230469 -27.47172434728595)
60742,145.828,22.863,38,7,145.873718261719,-38.13239615404855,POINT (145.873718261719 -38.13239615404855)
60994,184.083,22.42,3,2,152.75115966796898,-27.622706808753797,POINT (152.751159667969 -27.6227068087538)
61329,167.925,29.862,5,3,144.6102905273435,-37.916034307845145,POINT (144.6102905273435 -37.91603430784514)
61337,134.391,23.217,17,12,151.1141967773435,-33.6809253891278,POINT (151.1141967773435 -33.6809253891278)
