,avg_d_mbps,avg_u_mbps,tests,devices,long,lat,location
75498,194.061,39.484,6,1,146.40655517578097,-38.30933573716385,POINT (146.406555175781 -38.30933573716385)
75597,113.003,22.448,8,3,150.7681274414065,-23.1681387452074,POINT (150.7681274414065 -23.1681387452074)
75603,101.082,18.242,1,1,150.713195800781,-34.19135770865165,POINT (150.713195800781 -34.19135770865165)
75662,124.614,19.614,2,2,147.13165283203102,-41.42831253886275,POINT (147.131652832031 -41.42831253886275)
75780,163.971,40.833,1,1,151.8173217773435,-32.8172866331128,POINT (151.8173217773435 -32.8172866331128)
75935,101.279,18.977,7,2,131.0147094726565,-12.508984017147897,POINT (131.0147094726565 -12.5089840171479)
75990,202.394,23.716,2,2,147.257995605469,-42.79338518834365,POINT (147.257995605469 -42.79338518834365)
76002,267.701,19.257,1,1,146.71417236328097,-19.2618869704805,POINT (146.714172363281 -19.2618869704805)
76034,102.36,79.241,7,3,150.949401855469,-33.740328820318,POINT (150.949401855469 -33.740328820318)
76065,249.893,36.141,16,2,151.4437866210935,-33.37411869037705,POINT (151.4437866210935 -33.37411869037705)
76092,239.003,16.251,1,1,147.3348999023435,-43.006655633123245,POINT (147.3348999023435 -43.00665563312324)
76283,100.238,23.139,1,1,144.8080444335935,-37.816293448358905,POINT (144.8080444335935 -37.81629344835891)
76356,100.93,37.832,10,4,152.800598144531,-27.598368841545994,POINT (152.800598144531 -27.59836884154599)
76362,142.098,21.594,8,3,145.8242797851565,-41.03585887884195,POINT (145.8242797851565 -41.03585887884195)
76462,269.372,39.733,1,1,152.6962280273435,-25.549875657884353,POINT (152.6962280273435 -25.54987565788435)
76531,140.251,34.771,2,1,146.3461303710935,-38.292092285608646,POINT (146.3461303710935 -38.29209228560865)
76572,145.886,87.623,1,1,145.54962158203102,-38.09349818140365,POINT (145.549621582031 -38.09349818140365)
76656,126.166,12.706,2,2,145.192565917969,-38.3610414965603,POINT (145.192565917969 -38.3610414965603)
76953,108.37,18.721,1,1,147.1426391601565,-41.41183569834345,POINT (147.1426391601565 -41.41183569834345)
76995,490.861,40.212,2,1,138.496398925781,-35.1625821170903,POINT (138.496398925781 -35.1625821170903)
77097,227.05,33.795,13,1,153.0038452148435,-27.61783964790695,POINT (153.0038452148435 -27.61783964790695)
77288,232.764,87.704,1,1,114.63409423828101,-28.741172176838194,POINT (114.634094238281 -28.74117217683819)
77398,138.607,132.948,1,1,116.0897827148435,-31.907873026822404,POINT (116.0897827148435 -31.9078730268224)
77415,195.354,210.705,1,1,144.3685913085935,-38.339501914244494,POINT (144.3685913085935 -38.33950191424449)
77435,119.172,97.77,2,1,150.867004394531,-33.790561154945905,POINT (150.867004394531 -33.79056115494591)
78084,111.707,24.812,18,7,146.67572021484352,-19.2048347958621,POINT (146.6757202148435 -19.2048347958621)
78185,565.112,45.443,2,1,144.621276855469,-37.920367804027855,POINT (144.621276855469 -37.92036780402785)
78427,215.833,36.876,14,3,138.820495605469,-34.4590126459576,POINT (138.820495605469 -34.4590126459576)
78446,143.485,42.72,4,1,148.6312866210935,-36.40581016228115,POINT (148.6312866210935 -36.40581016228115)
78669,139.061,19.519,2,2,150.1913452148435,-26.64500380142775,POINT (150.1913452148435 -26.64500380142775)
79251,111.819,112.822,1,1,144.890441894531,-38.4600410336588,POINT (144.890441894531 -38.4600410336588)
79353,116.939,118.197,1,1,153.25653076171898,-27.72486717084905,POINT (153.256530761719 -27.72486717084905)
79355,332.575,189.423,3,1,144.3685913085935,-38.223077502954,POINT (144.3685913085935 -38.223077502954)
79564,207.566,33.85,17,1,147.323913574219,-42.97049189865315,POINT (147.323913574219 -42.97049189865315)
79750,219.29,23.137,1,1,115.8975219726565,-32.60467541067265,POINT (115.8975219726565 -32.60467541067265)
79838,198.925,33.64,3,3,146.824035644531,-19.272257962472302,POINT (146.824035644531 -19.2722579624723)
80105,214.253,239.634,2,1,138.5733032226565,-34.8431127583069,POINT (138.5733032226565 -34.8431127583069)
80253,322.952,39.258,1,1,152.514953613281,-31.940509229222094,POINT (152.514953613281 -31.94050922922209)
80268,105.239,32.523,1,1,117.638854980469,-34.65354455200655,POINT (117.638854980469 -34.65354455200655)
80404,177.878,6.705,206,2,151.3174438476565,-33.48414469577175,POINT (151.3174438476565 -33.48414469577175)
80413,107.059,104.884,4,3,122.29705810546902,-29.78583318324975,POINT (122.297058105469 -29.78583318324975)
80467,237.435,187.914,4,1,149.175109863281,-35.333052530205755,POINT (149.175109863281 -35.33305253020576)
80468,113.474,26.707,11,4,144.37957763671898,-38.06755469226865,POINT (144.379577636719 -38.06755469226865)
80735,124.388,146.214,4,1,147.829284667969,-21.34310668411765,POINT (147.829284667969 -21.34310668411765)
81106,135.029,17.655,1,1,152.6577758789065,-25.574653038458646,POINT (152.6577758789065 -25.57465303845865)
81227,101.213,18.576,1,1,150.8065795898435,-33.927408663824295,POINT (150.8065795898435 -33.92740866382429)
81447,304.781,38.476,5,1,152.4160766601565,-31.940509229222105,POINT (152.4160766601565 -31.9405092292221)
81479,105.195,16.109,4,1,150.89996337890653,-33.68549634250975,POINT (150.8999633789065 -33.68549634250975)
81524,107.647,20.944,4,3,151.652526855469,-30.498384405816,POINT (151.652526855469 -30.498384405816)
81627,165.057,33.835,2,1,152.90496826171898,-27.642173288402503,POINT (152.904968261719 -27.6421732884025)
81773,103.324,24.589,2,1,153.2235717773435,-29.49459696569225,POINT (153.2235717773435 -29.49459696569225)
81861,134.974,16.492,4,1,153.168640136719,-27.85121888799475,POINT (153.168640136719 -27.85121888799475)
81909,178.186,6.59,5,1,149.021301269531,-21.194655280948048,POINT (149.021301269531 -21.19465528094805)
82104,331.999,37.927,6,1,147.329406738281,-35.14910866761289,POINT (147.329406738281 -35.14910866761289)
82505,225.924,290.932,2,2,153.23455810546903,-27.681095856455556,POINT (153.234558105469 -27.68109585645556)
82888,254.86,43.811,3,1,147.1151733398435,-41.481833397408344,POINT (147.1151733398435 -41.48183339740834)
83009,198.396,25.539,5,1,115.94146728515649,-31.87988992299985,POINT (115.9414672851565 -31.87988992299985)
83229,109.733,99.48,2,1,139.479675292969,-20.74840869149005,POINT (139.479675292969 -20.74840869149005)
83302,106.94,57.693,1,1,144.934387207031,-37.5685282336617,POINT (144.934387207031 -37.5685282336617)
83359,143.511,36.742,4,1,143.874206542969,-37.61205567958565,POINT (143.874206542969 -37.61205567958565)
83421,260.907,40.832,4,1,145.57159423828102,-38.27484473582,POINT (145.571594238281 -38.27484473582)
83669,505.843,43.052,3,1,138.584289550781,-35.5791503536424,POINT (138.584289550781 -35.5791503536424)
83984,248.417,25.241,1,1,149.504699707031,-22.0169069358999,POINT (149.504699707031 -22.0169069358999)
84285,113.029,4.92,7,1,150.9658813476565,-33.954751838072546,POINT (150.9658813476565 -33.95475183807255)
84586,272.886,40.498,2,2,137.7822875976565,-32.4935468979313,POINT (137.7822875976565 -32.4935468979313)
84692,101.391,18.972,1,1,145.110168457031,-37.989669012101096,POINT (145.110168457031 -37.9896690121011)
84994,104.897,29.531,3,1,115.79864501953098,-32.23835937601925,POINT (115.798645019531 -32.23835937601925)
85876,111.491,111.388,1,1,149.7354125976565,-34.80703808066755,POINT (149.7354125976565 -34.80703808066755)
85912,204.932,24.251,2,1,135.9146118164065,-21.80795829496485,POINT (135.9146118164065 -21.80795829496485)
85967,101.712,19.96,1,1,116.00738525390649,-32.08955566415919,POINT (116.0073852539065 -32.08955566415919)
86090,231.296,123.888,1,1,144.7695922851565,-37.84232581743795,POINT (144.7695922851565 -37.84232581743795)
86215,235.201,89.056,1,1,151.60858154296903,-32.71566622576755,POINT (151.608581542969 -32.71566622576755)
86380,136.909,155.785,1,1,150.88348388671898,-33.7996911428192,POINT (150.883483886719 -33.7996911428192)
86744,101.52,18.927,2,1,150.8560180664065,-33.8362013548249,POINT (150.8560180664065 -33.8362013548249)
86828,139.03,56.826,2,1,114.62310791015652,-28.664081196703048,POINT (114.6231079101565 -28.66408119670305)
86851,461.239,47.046,1,1,138.6776733398435,-34.779971705067396,POINT (138.6776733398435 -34.7799717050674)
86892,109.548,137.349,1,1,147.834777832031,-21.26634016790275,POINT (147.834777832031 -21.26634016790275)
87008,724.326,43.136,1,1,145.4013061523435,-36.352739055931195,POINT (145.4013061523435 -36.3527390559312)
87557,501.795,9.195,1,1,149.021301269531,-21.1587997834583,POINT (149.021301269531 -21.1587997834583)
87657,143.456,180.504,1,1,147.060241699219,-43.010672512436194,POINT (147.060241699219 -43.01067251243619)
87837,409.213,45.455,2,1,145.45623779296903,-38.08917490576721,POINT (145.456237792969 -38.08917490576721)
87896,122.303,16.308,1,1,145.835266113281,-41.040002235683154,POINT (145.835266113281 -41.04000223568315)
88078,119.338,36.518,1,1,144.9453735351565,-37.599000118825195,POINT (144.9453735351565 -37.5990001188252)
88369,133.141,42.378,1,1,116.1337280273435,-31.77254262518705,POINT (116.1337280273435 -31.77254262518705)
88408,121.796,23.417,3,1,138.64471435546898,-34.766435186003896,POINT (138.644714355469 -34.7664351860039)
